BOROUGH,NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,YEAR
BROOKLYN,COBBLE HILL-WEST,03 THREE FAMILY HOMES,2,1950000,2125000,2125000,2300000,2022
BROOKLYN,CONEY ISLAND,01 ONE FAMILY HOMES,27,249000,595563,600000,999000,2022
BROOKLYN,CONEY ISLAND,02 TWO FAMILY HOMES,3,760000,936667,800000,1250000,2022
BROOKLYN,CONEY ISLAND,03 THREE FAMILY HOMES,1,1080000,1080000,1080000,1080000,2022
BROOKLYN,CROWN HEIGHTS,01 ONE FAMILY HOMES,23,620000,1645630,1600000,2900000,2022
BROOKLYN,CROWN HEIGHTS,02 TWO FAMILY HOMES,123,350000,1431819,1350000,2900000,2022
BROOKLYN,CROWN HEIGHTS,03 THREE FAMILY HOMES,37,400000,1625511,1640000,4250000,2022
BROOKLYN,CYPRESS HILLS,01 ONE FAMILY HOMES,30,329500,700550,717500,1330000,2022
BROOKLYN,CYPRESS HILLS,02 TWO FAMILY HOMES,81,300000,808974,840000,1230000,2022
BROOKLYN,CYPRESS HILLS,03 THREE FAMILY HOMES,18,300000,904389,967500,1200000,2022
BROOKLYN,DOWNTOWN-FULTON FERRY,02 TWO FAMILY HOMES,1,2550000,2550000,2550000,2550000,2022
BROOKLYN,DOWNTOWN-FULTON MALL,01 ONE FAMILY HOMES,1,4985000,4985000,4985000,4985000,2022
BROOKLYN,DOWNTOWN-FULTON MALL,02 TWO FAMILY HOMES,2,1478000,2964000,2964000,4450000,2022
BROOKLYN,DOWNTOWN-METROTECH,01 ONE FAMILY HOMES,1,2505000,2505000,2505000,2505000,2022
BROOKLYN,DOWNTOWN-METROTECH,03 THREE FAMILY HOMES,1,2220000,2220000,2220000,2220000,2022
BROOKLYN,DYKER HEIGHTS,01 ONE FAMILY HOMES,80,200000,1172703,1064000,3500000,2022
BROOKLYN,DYKER HEIGHTS,02 TWO FAMILY HOMES,96,200000,1440797,1439450,3500000,2022
BROOKLYN,DYKER HEIGHTS,03 THREE FAMILY HOMES,30,800000,1609427,1615000,2550000,2022
BROOKLYN,EAST NEW YORK,01 ONE FAMILY HOMES,88,200000,576897,577500,975000,2022
BROOKLYN,EAST NEW YORK,02 TWO FAMILY HOMES,160,215000,765863,777500,2700000,2022
BROOKLYN,EAST NEW YORK,03 THREE FAMILY HOMES,65,230000,1120989,845000,4110000,2022
BROOKLYN,FLATBUSH-CENTRAL,01 ONE FAMILY HOMES,68,430000,1734000,1525000,3500000,2022
BROOKLYN,FLATBUSH-CENTRAL,02 TWO FAMILY HOMES,59,375000,1288685,1200000,3350000,2022
BROOKLYN,FLATBUSH-CENTRAL,03 THREE FAMILY HOMES,13,620391,1249934,1200000,1865000,2022
BROOKLYN,FLATBUSH-EAST,01 ONE FAMILY HOMES,199,248000,687206,675000,1500000,2022
BROOKLYN,FLATBUSH-EAST,02 TWO FAMILY HOMES,120,242091,936479,861500,5000000,2022
BROOKLYN,FLATBUSH-EAST,03 THREE FAMILY HOMES,25,371250,910169,891500,1700000,2022
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,01 ONE FAMILY HOMES,25,200000,2019024,2115000,3807497,2022
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,02 TWO FAMILY HOMES,28,541875,1588151,1479034,3100000,2022
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,03 THREE FAMILY HOMES,3,1300000,1468333,1535000,1570000,2022
BROOKLYN,FLATBUSH-NORTH,01 ONE FAMILY HOMES,35,300000,747811,725000,1400000,2022
BROOKLYN,FLATBUSH-NORTH,02 TWO FAMILY HOMES,72,251016,934834,840000,3400000,2022
BROOKLYN,FLATBUSH-NORTH,03 THREE FAMILY HOMES,17,400000,1000412,999999,1550000,2022
BROOKLYN,FLATLANDS,01 ONE FAMILY HOMES,52,395396,688296,700000,1150000,2022
BROOKLYN,FLATLANDS,02 TWO FAMILY HOMES,37,400000,809601,770000,1496719,2022
BROOKLYN,FLATLANDS,03 THREE FAMILY HOMES,4,892000,1001750,980000,1155000,2022
BROOKLYN,FORT GREENE,01 ONE FAMILY HOMES,2,4750000,6325000,6325000,7900000,2022
BROOKLYN,FORT GREENE,02 TWO FAMILY HOMES,17,583194,2836937,2800000,5200000,2022
BROOKLYN,FORT GREENE,03 THREE FAMILY HOMES,17,1035000,2741235,2450000,6500000,2022
BROOKLYN,GERRITSEN BEACH,01 ONE FAMILY HOMES,66,220000,602581,602500,1800000,2022
BROOKLYN,GERRITSEN BEACH,02 TWO FAMILY HOMES,15,500000,754867,759000,950000,2022
BROOKLYN,GOWANUS,01 ONE FAMILY HOMES,10,493202,1570240,1614600,2700000,2022
BROOKLYN,GOWANUS,02 TWO FAMILY HOMES,16,400000,1757690,1887500,3275000,2022
BROOKLYN,GOWANUS,03 THREE FAMILY HOMES,10,990000,2210050,2277000,4275000,2022
BROOKLYN,GRAVESEND,01 ONE FAMILY HOMES,70,200500,902602,866500,1800000,2022
BROOKLYN,GRAVESEND,02 TWO FAMILY HOMES,143,200000,1118855,1095000,2500000,2022
BROOKLYN,GRAVESEND,03 THREE FAMILY HOMES,47,415557,1418288,1480000,2080000,2022
BROOKLYN,GREENPOINT,01 ONE FAMILY HOMES,9,900000,2478889,2320000,4250000,2022
BROOKLYN,GREENPOINT,02 TWO FAMILY HOMES,40,575338,2051121,1828000,4400000,2022
BROOKLYN,GREENPOINT,03 THREE FAMILY HOMES,30,999000,2327842,2250000,3825000,2022
BROOKLYN,KENSINGTON,01 ONE FAMILY HOMES,14,350000,1343059,1291250,2300000,2022
BROOKLYN,KENSINGTON,02 TWO FAMILY HOMES,13,400000,1437308,1405000,2205000,2022
BROOKLYN,KENSINGTON,03 THREE FAMILY HOMES,11,700000,1525909,1705000,2125000,2022
BROOKLYN,MADISON,01 ONE FAMILY HOMES,88,220970,1113981,977500,2600000,2022
BROOKLYN,MADISON,02 TWO FAMILY HOMES,35,650000,1140828,1125000,1999999,2022
BROOKLYN,MADISON,03 THREE FAMILY HOMES,4,999922,1446981,1294000,2200000,2022
BROOKLYN,MANHATTAN BEACH,01 ONE FAMILY HOMES,24,933628,1792608,1627100,3200000,2022
BROOKLYN,MANHATTAN BEACH,02 TWO FAMILY HOMES,14,225000,1532691,1605000,2225000,2022
BROOKLYN,MARINE PARK,01 ONE FAMILY HOMES,156,400000,786428,777000,1150000,2022
BROOKLYN,MARINE PARK,02 TWO FAMILY HOMES,55,200000,852475,850000,1287000,2022
BROOKLYN,MARINE PARK,03 THREE FAMILY HOMES,2,800000,1035000,1035000,1270000,2022
BROOKLYN,MIDWOOD,01 ONE FAMILY HOMES,115,250000,1319530,1240000,3700000,2022
BROOKLYN,MIDWOOD,02 TWO FAMILY HOMES,57,300000,1368952,1300000,4550000,2022
BROOKLYN,MIDWOOD,03 THREE FAMILY HOMES,11,212500,1452682,1460000,2200000,2022
BROOKLYN,MILL BASIN,01 ONE FAMILY HOMES,62,500000,1190952,997000,2880000,2022
BROOKLYN,MILL BASIN,02 TWO FAMILY HOMES,29,685000,1003483,950000,1450000,2022
BROOKLYN,MILL BASIN,03 THREE FAMILY HOMES,1,930000,930000,930000,930000,2022
